,lambda,ag_s,ae_s,ae_v,ae_t
0,470.00000000000006,4840.279535064523,-3014.7115478076994,-1838.0526761008907,263.17221839448007
1,470.2395064061934,4720.414080911731,-3251.8882900921235,-2131.521635266304,284.3862406850124
2,470.4791348620008,4606.469040833409,-3544.2882617439277,-2504.8588905693778,310.9032813735462
3,470.7188854296168,4498.016398275574,-3915.6802683665815,-2993.48284437404,345.07488214270666
4,470.95875817126915,4394.668423814768,-4406.015325923255,-3657.05843635273,390.86714595456493
5,471.1987531492157,4296.073044092752,-5088.0716743758385,-4604.460570542539,455.52458945662954
6,471.4388704257467,4201.9098352101655,-6109.979803805045,-6057.556764335153,553.8218580715281
7,471.67911006318394,4111.886544504572,-7826.99859809227,-8548.865486405986,721.2403791891855
8,471.91947212388123,4025.736061163544,-11358.669254713192,-13757.279926159452,1069.6825738181021
9,472.1599566702234,3943.2137695251813,-23038.997957972944,-31183.33334240223,2232.488664940876
10,472.4005637646287,3864.0952298269935,130089.00142444855,198608.99752088022,-13086.110868913813
11,472.6412934695457,3788.174140097513,14810.910365822281,25798.71011950529,-1564.7578738153447
12,472.8821458474552,3715.260540213748,7163.565273597964,14441.781904471676,-807.235359728083
13,473.1231209608699,3645.17922520947,4355.207886323662,10351.416577615655,-534.4862137825646
14,473.36421887233445,3577.7683399311964,2878.0834719165164,8266.967670402935,-395.8777507638608
15,473.6054396444247,3512.8781313129502,1953.1974066011865,7021.107211406907,-313.68352630559446
16,473.8467833397499,3450.3698380233536,1308.608701971834,6207.310004866208,-260.9207896052845
17,474.08825002094983,3390.114700159319,824.3447256159152,5647.283711055873,-225.8527475631624
18,474.3298397506967,3331.9930741101025,438.98680075122115,5250.924823052411,-202.66170129943808
19,474.57155259169446,3275.8936397895845,117.54325468056807,4968.233657241623,-188.25633904784561
20,474.8133886066792,3221.7126891825965,-161.70406851216458,4769.729908456871,-180.98426117033412
21,475.05534785841843,3169.3534866385367,-413.31562108684443,4637.484532401826,-180.0600091063334
22,475.2974304097131,3118.7256926102064,-647.8516120713033,4560.679970948376,-185.30681754317717
23,475.53963632339475,3069.7448436172062,-873.6799935714843,4533.336302867501,-197.06132186741922
24,475.7819656623273,3022.3318821347457,-1098.1551192430475,4553.209560385796,-216.1864225179858
25,476.0244184894069,2976.4127309049773,-1328.544014748305,4621.449483936964,-244.1850527591788
26,476.2669948675615,2931.9179068496633,-1572.9587181053214,4742.911104853993,-283.4452969957391
27,476.5096948597509,2888.782170351145,-1841.5655481607662,4927.263439415743,-337.6995305403287
28,476.7525185289682,2846.9442061785976,-2148.5006206626454,5191.392335340213,-412.8826488364905
29,476.9954659382374,2806.346332778543,-2515.3734963361735,5564.334881891008,-518.812978268292
30,477.23853715061483,2766.9342370295262,-2978.4866424212955,6097.885561697906,-672.7490879502574
31,477.4817322291891,2728.656731896946,-3605.7031297001818,6891.741054173282,-907.7818987163554
32,477.725051237081,2691.4655347142125,-4542.703636973857,8162.7752951975435,-1295.9279907301477
33,477.9684942374429,2655.3150640704735,-6173.348717793155,10485.505988289471,-2028.2786750023058
34,478.21206129346086,2620.16225350804,-9952.887978198938,16041.857009503787,-3831.572852427515
35,478.45575246835176,2585.966380429711,-30876.595683629363,47324.0811893504,-14202.480787521938
36,478.699567825365,2552.6889087852314,21217.160297912236,-30910.648520941624,11940.90059890788
37,478.9435074277824,2520.293344260419,6828.896923108133,-9413.200801803941,4850.084757619737
38,479.18757133891785,2488.745100824374,3546.688240388557,-4565.468410887403,3320.592766030084
39,479.4317596221171,2458.0113776091766,2032.3772159375744,-2359.635307896083,2685.140343051882
40,479.6760723407598,2428.0610451999946,1119.067017369071,-1044.32996774157,2362.4945532665656
41,479.92050955825613,2398.8645405081807,476.1704366086021,-122.0687740485504,2190.1550329272955
42,480.16507133804924,2370.393769479533,-27.469653794064374,606.2648431228349,2106.1410647440234
43,480.4097577436147,2342.6220169658122,-455.89023775397413,1240.1978859642002,2083.1751503805003
44,480.65456883845974,2315.5238631512693,-845.9739151561434,1840.1102455549556,2109.221755345939
45,480.8995046861255,2289.0751059845015,-1222.788927430147,2451.047039372806,2180.6505336013774
46,481.14456535018405,2263.252689118759,-1606.911737667084,3115.054735939918,2299.9628775168653
47,481.3897508942404,2238.034634908817,-2019.1318790786715,3880.6254305244343,2475.868600314745
48,481.6350613819319,2213.399982055902,-2485.081312705139,4814.105116717195,2725.486512244934
49,481.88049687692825,2189.3287275284674,-3042.1759584849024,6019.088659578081,3079.9194347314387
50,482.1260574429313,2165.8017724208153,-3753.4634680737,7677.065686590805,3597.2840144470542
51,482.37174314367667,2142.800871441094,-4741.360327425129,10148.009735201782,4395.927411274319
52,482.6175540429311,2120.308585748905,-6288.6871486271875,14272.997386787061,5755.108185846299
53,482.86349020449416,2098.30823888503,-9246.422402040576,22597.03219543982,8522.487607362013
54,483.1095516921981,2076.7838755601956,-17959.379100967384,48145.62399975563,17039.590345230255
55,483.3557385699076,2055.720223088441,565665.3670145075,-1703370.4485925585,-566789.9688301327
56,483.6020509015195,2035.1026552692522,14374.760377660607,-50204.6467930246,-15716.981923267926
57,483.8484887509645,2014.9171585388265,6325.9601666945055,-26844.143238126024,-7903.097312424027
58,484.09505218220454,1995.150300226326,3424.3624738118556,-19025.140013066066,-5259.174843535619
59,484.34174125923465,1975.7891987633232,1812.7668779886308,-15202.201350993038,-3934.917863567517
60,484.5885560460824,1956.8214957081213,694.505756639685,-13020.423761056296,-3142.6891629290694
61,484.83549660680796,1938.2353294570753,-207.68309090437134,-11696.435308651902,-2617.444720245761
62,485.08256300550374,1920.0193105254834,-1025.2027548020176,-10904.943460435272,-2244.9034860962765
63,485.3297553062963,1902.1624982895898,-1840.5394363522748,-10500.266148000563,-1967.519861527107
64,485.57707357334334,1884.6543790903916,-2724.1875657714045,-10428.039468859597,-1752.7972800590694
65,485.8245178708358,1867.4848456065154,-3757.785863769074,-10699.66057641131,-1580.2370339246338
66,486.07208826299717,1850.6441774116263,-5062.0369823546835,-11401.97035064177,-1434.5941701572021
67,486.3197848140839,1834.1230226375937,-6852.184495892102,-12754.694244142443,-1300.276517985241
68,486.5676075883846,1817.912380670714,-9586.477890613964,-15297.082802361898,-1150.8998474656287
69,486.815556650222,1802.0035858137333,-14493.6301347786,-20598.94774820679,-910.9641290176689
70,487.0636320639503,1786.3882918515449,-26538.771370521463,-35461.738846511886,-207.86284248845885
71,487.311833893957,1771.0584574624174,-123660.66128842367,-174660.01500864275,8329.573205694522
72,487.5601622046621,1756.0063324215241,30850.900925990045,81175.90193202031,-11827.483884324662
73,487.8086170605189,1741.2244445468443,50762.1019521171,-22189.119104725018,12923.616418003723
74,488.0571985260127,1726.70558734139,20250.78486977998,3811.2483752473004,1707.0626482918342
75,488.30590666566326,1712.4428082885415,13992.30783948895,4033.0444992190096,488.2271309762803
76,488.5547415440217,1698.4293977610312,10931.20634092555,3343.7769078194447,83.73717109257467
77,488.8037032256726,1684.658878505851,9066.818996962293,2710.991066265335,-99.0487056764969
78,489.05279177523346,1671.1249956708202,7798.437052366989,2209.833581698975,-194.47535435244257
79,489.3020072573545,1657.8217073404849,6873.940613700432,1819.7533782596356,-248.1678584670357
80,489.5513497367187,1644.7431755511611,6167.174544999279,1513.9482281103762,-279.41818132633847
81,489.80081927804326,1631.8837577570787,5607.522474115164,1271.1667837510936,-297.60962894800457
82,490.05041594607695,1619.2379987216689,5152.203040147239,1075.8668204627247,-307.7728000749097
83,490.3001398056021,1606.8006228090526,4773.71402173697,916.8167544502745,-312.80413631295414
84,490.54999092143385,1594.5665266531983,4453.535835606882,785.8410854000684,-314.464055170677
85,490.7999693584201,1582.5307721833008,4178.722299158711,676.9098155520988,-313.86847477361897
86,491.05007518144316,1570.6885799851116,3939.939543649196,585.5096323611068,-311.7486480749599
87,491.30030845541694,1559.0353229799541,3730.2810701689305,508.2130046123465,-308.59659127114816
88,491.550669245289,1547.56652040327,3544.521875078975,442.38083941879836,-304.7503877589254
89,491.80115761603975,1536.277832066713,3378.6323764730896,385.95468695052637,-300.44621766204415
90,492.051773632683,1525.165052888078,3229.4519999782347,337.3093075504842,-295.85114907744145
91,492.30251736026514,1514.2241076747634,3094.4640603835232,295.1462662967909,-291.084376080537
92,492.55338886386704,1503.451046146914,2971.636577711716,258.4155137267471,-286.23127290608426
93,492.8043882086014,1492.8420381879093,2859.3066799057005,226.25571390320988,-281.35281140524944
